Ano;Tempo de Exposição (s)  (t);"RHreal: Média da umidade relativa da camada carbonatada [%];";"RHref: umidade relativa de referência [%];";Expoente fe [-] ;Expoente ge [-] ;"Ke = Coeficiente ambiental [adimensional];";"bc: expoente da regressão [-]; ";tc: período de cura [d].;"Kc = Coeficiente de condição de cura [adimensional];";Cs = Concentração de CO2 no ar – [%];"W(t) = Coeficiente climático [adimensional];";DCO2 = Coeficiente de difusão no concreto carbonatado;a = Teor de CO2 em 1m³ de concreto;Rc = Resistência  à carbonatação natural do concreto (mm²/anos) /(kg/m³).;Xc (t) Profundidade de carbonatação (mm)
125;3942000000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,215413118;8,913E-08;68,02521;1,31E-09;21,263510
126;3973536000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,215057136;8,913E-08;68,02521;1,31E-09;21,313116
127;4005072000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,214704548;8,913E-08;68,02521;1,31E-09;21,362443
128;4036608000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,214355297;8,913E-08;68,02521;1,31E-09;21,411496
129;4068144000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,214009326;8,913E-08;68,02521;1,31E-09;21,460279
130;4099680000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,213666578;8,913E-08;68,02521;1,31E-09;21,508795
131;4131216000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,213326999;8,913E-08;68,02521;1,31E-09;21,557048
132;4162752000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,212990537;8,913E-08;68,02521;1,31E-09;21,605040
133;4194288000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,212657138;8,913E-08;68,02521;1,31E-09;21,652777
134;4225824000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,212326753;8,913E-08;68,02521;1,31E-09;21,700259
135;4257360000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,211999331;8,913E-08;68,02521;1,31E-09;21,747492
136;4288896000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,211674826;8,913E-08;68,02521;1,31E-09;21,794478
137;4320432000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,211353189;8,913E-08;68,02521;1,31E-09;21,841220
138;4351968000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,211034375;8,913E-08;68,02521;1,31E-09;21,887721
139;4383504000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,210718338;8,913E-08;68,02521;1,31E-09;21,933985
